,Legislator name,Connections,Legislator name,Legislative Effectiveness Score
250,Kathy Castor,54,Kathy Castor,1.031051754951477
251,Yvette D. Clarke,84,Yvette Clarke,0.9882755875587463
252,Annie Kuster,54,Ann Kuster,0.987284779548645
253,Anna Eshoo,54,Anna Eshoo,1.898498773574829
254,Robin Kelly,94,Robin Kelly,2.7963478565216064
255,Peter Welch,115,Peter Welch,1.0665136575698853
256,Greg Walden,54,Greg Walden,0.6953604817390442
257,Cathy McMorris Rodgers,54,Cathy McMorris Rodgers,1.481447458267212
258,David McKinley,54,David McKinley,0.978335440158844
259,Markwayne Mullin,54,Markwayne Mullin,0.1708884835243225
260,Steve Scalise,54,Steve Scalise,0.06958094984292984
261,John Shimkus,54,John Shimkus,0.019880272448062897
262,Fred Upton,54,Fred Upton,0.3329463005065918
263,Billy Long,54,Billy Long,0.3385578691959381
264,Gus M. Bilirakis,81,Gus Bilirakis,1.7130862474441528
265,Susan Brooks,54,Susan Brooks,0.05964081361889839
266,Larry Bucshon,54,Larry Bucshon,0.9918940663337708
267,Michael C. Burgess,66,Michael Burgess,1.0068398714065552
268,Jeff Duncan,54,Jeff Duncan,0.14512598514556885
269,Bill Flores,85,Bill Flores,0.3863523602485657
270,Greg Gianforte,54,Greg Gianforte,1.1362662315368652
271,H. Morgan Griffith,54,H. Morgan Griffith,0.5294084548950195
272,Richard Hudson,54,Richard Hudson,0.14114992320537567
273,Bill Johnson,85,Bill Johnson,0.09144924581050873
274,Maxine Waters,60,Maxine Waters,2.8365111351013184
275,Carolyn B. Maloney,119,Carolyn Maloney,5.029590606689453
276,Ben McAdams,97,Ben McAdams,1.7404842376708984
277,Alexandria Ocasio-Cortez,100,Alexandria Ocasio-Cortez,0.20874285697937012
278,Ed Perlmutter,109,Ed Perlmutter,0.8610418438911438
279,Katie Porter,60,Katie Porter,1.0244126319885254
280,Ayanna Pressley,100,Ayanna Pressley,0.6695979833602905
281,David Scott,106,David Scott,0.7069361805915833
282,Rashida Tlaib,100,Rashida Tlaib,1.4105134010314941
283,Jennifer Wexton,97,Jennifer Wexton,2.1147994995117188
284,Stephen Lynch,165,Stephen Lynch,1.0410737991333008
285,Cindy Axne,106,Cindy Axne,1.3378957509994507
286,Jesus Garcia,125,Jesus Garcia,0.5572408437728882
287,Joyce Beatty,79,Joyce Beatty,1.2930370569229126
288,Sean Casten,97,Sean Casten,0.8515360951423645
289,Emanuel Cleaver,90,Emanuel Cleaver,1.721877098083496
290,Bill Foster,97,Bill Foster,0.6958767175674438
291,Tulsi Gabbard,116,Tulsi Gabbard,0.5616512894630432
292,Josh Gottheimer,60,Josh Gottheimer,0.8726993799209595
293,Al Green,90,Al Green,1.3915598392486572
294,Denny Heck,100,Denny Heck,1.3417080640792847
295,Patrick T. McHenry,60,Patrick McHenry,0.6255089044570923
296,John Rose,60,John Rose,0.029820406809449196
297,Bill Posey,97,Bill Posey,0.6386681199073792
298,Blaine Luetkemeyer,60,Blaine Luetkemeyer,0.22862312197685242
299,Bryan Steil,60,Bryan Steil,0.2988791763782501
300,Steve Stivers,60,Steve Stivers,0.31677141785621643
301,Scott Tipton,60,Scott Tipton,1.7485308647155762
302,Roger Williams,60,Roger Williams,0.3267115652561188
303,Frank Lucas,97,Frank Lucas,0.5105558037757874
304,Andy Barr,87,Andy Barr,2.2088539600372314
305,Ted Budd,60,Ted Budd,0.5275022983551025
306,Warren Davidson,60,Warren Davidson,0.10934149473905563
307,Sean Duffy,60,Sean Duffy,0.24157890677452087
308,Tom Emmer,60,Tom Emmer,0.28022998571395874
309,Anthony Gonzalez,97,Anthony Gonzalez,1.6093690395355225
310,Lance Gooden,60,Lance Gooden,0.06958094984292984
311,French Hill,60,French Hill,1.4772007465362549
312,Trey Hollingsworth,60,Trey Hollingsworth,0.07952108979225159
313,Bill Huizenga,60,Bill Huizenga,0.3068313002586365
314,Peter King,90,Peter King,1.4040781259536743
315,David Kustoff,60,David Kustoff,0.29319846630096436
316,William Timmons,60,William Timmons,0.2273101955652237
317,Nita Lowey,52,Nita Lowey,10.302238464355469
318,Grace Meng,61,Grace Meng,1.0449007749557495
319,Chellie Pingree,98,Chellie Pingree,0.7839431762695312
320,Mark Pocan,52,Mark Pocan,0.7891302704811096
321,David Price,83,David Price,0.4879726469516754
322,Mike Quigley,73,Mike Quigley,2.053528308868408
323,Dutch Ruppersberger,52,Dutch Ruppersberger,0.5204959511756897
324,Lucille Roybal-Allard,52,Lucille Roybal-Allard,1.1562577486038208
325,Tim Ryan,61,Tim Ryan,0.8535080552101135
326,José Serrano,52,Jose Serrano,1.935861349105835
327,Norma Torres,64,Norma Torres,0.783873975276947
328,Peter Visclosky,52,Peter Visclosky,0.5253108143806458
329,Debbie Wasserman Schultz,92,Debbie Wasserman Schultz,0.9178979396820068
330,Bonnie Watson Coleman,82,Bonnie Watson Coleman,0.7169581651687622
331,Betty McCollum,52,Betty McCollum,1.4245418310165405
332,Brenda Lawrence,92,Brenda Lawrence,0.2454857975244522
333,Barbara Lee,83,Barbara Lee,1.0366603136062622
334,Rosa L. DeLauro,83,Rosa DeLauro,2.2949182987213135
335,Cheri Bustos,98,Cheri Bustos,0.9142681956291199
336,Matt Cartwright,52,Matt Cartwright,1.7309863567352295
337,Katherine Clark,52,Katherine Clark,0.15904217958450317
338,Charlie Crist,89,Charlie Crist,1.2312413454055786
339,Henry Cuellar,52,Henry Cuellar,1.2490119934082031
340,Lois Frankel,71,Lois Frankel,0.3981986939907074
341,Marcy Kaptur,52,Marcy Kaptur,0.5755645036697388
342,Derek Kilmer,52,Derek Kilmer,1.1920127868652344
343,Ann Kirkpatrick,98,Ann Kirkpatrick,0.05964081361889839
344,Tom Cole,64,Tom Cole,0.34849801659584045
345,Kay Granger,52,Kay Granger,0.0
346,Robert Aderholt,52,Robert Aderholt,0.019880272448062897
347,John Moolenaar,52,John Moolenaar,0.04970067739486694
348,Dan Newhouse,52,Dan Newhouse,0.24196013808250427
349,Steven Palazzo,52,Steven Palazzo,0.029820406809449196
350,John Rutherford,52,John Rutherford,0.06162884086370468
351,Michael K. Simpson,52,Michael Simpson,0.05964081361889839
352,Chris Stewart,104,Chris Stewart,0.7620748281478882
353,Steve Womack,83,Steve Womack,0.009940136224031448
354,Mark Amodei,52,Mark Amodei,0.36837828159332275
355,Ken Calvert,52,Ken Calvert,0.2932676076889038
356,John Carter,52,John Carter,0.07952108979225159
357,Mario Diaz-Balart,52,Mario Diaz-Balart,0.06958094984292984
358,Charles J. Fleischmann,52,Charles Fleischmann,0.23725034296512604
359,Jeffrey Fortenberry,52,Jeff Fortenberry,0.6000170707702637
360,Jaime Herrera Beutler,71,Jaime Herrera Beutler,0.08946122229099274
361,David Joyce,52,David Joyce,1.352238416671753
362,Tom Graves,52,Sam Graves,0.6373552083969116
363,Tom Graves,52,Tom Graves,0.009940136224031448
364,Elissa Slotkin,86,Elissa Slotkin,1.2889918088912964
365,Ro Khanna,127,Ro Khanna,2.606457471847534
366,Andrew Kim,79,Andrew Kim,1.8459186553955078
367,Rick Larsen,121,Rick Larsen,0.24046944081783295
368,Elaine Luria,83,Elaine Luria,3.4763355255126953
369,Seth Moulton,87,Seth Moulton,0.6349627375602722
370,Mikie Sherrill,93,Mikie Sherrill,0.6107538938522339
371,Jackie Speier,117,Jackie Speier,0.985162079334259
372,Xochitl Torres Small,86,Xochitl Torres Small,1.7758245468139648
373,Filemon Vela,102,Filemon Vela,0.36086052656173706
374,Paul Mitchell,121,Paul Mitchell,0.25151902437210083
375,Jason Crow,79,Jason Crow,0.5572408437728882
376,Salud Carbajal,167,Salud Carbajal,0.8887825608253479
377,Jim Cooper,96,Jim Cooper,0.03976054489612579
378,Kendra Horn,93,Kendra Horn,0.4342665374279022
379,John Garamendi,121,John Garamendi,0.6334449648857117
380,Jared Golden,79,Jared Golden,0.8678845167160034
381,Katie Hill,133,Katie Hill,0.2471904754638672
382,Mac Thornberry,56,Mac Thornberry,0.06958094984292984
383,Mike Rogers,86,Mike Rogers,0.09940135478973389
384,Austin Scott,102,Austin Scott,0.2713993191719055
385,Don Bacon,102,Don Bacon,0.8577378392219543
386,Michael Turner,77,Michael Turner,0.2106490284204483
387,Michael Waltz,93,Michael Waltz,0.20070889592170715
388,Trent Kelly,125,Trent Kelly,0.40416276454925537
389,Jack Bergman,83,Jack Bergman,1.3701997995376587
390,Mo Brooks,93,Mo Brooks,0.08946122229099274
391,Scott DesJarlais,102,Scott DesJarlais,0.07156898081302643
392,Mike Gallagher,121,Mike Gallagher,0.6169635057449341
393,Sam Graves,121,Sam Graves,0.6373552083969116
394,Sam Graves,121,Tom Graves,0.009940136224031448
395,Vicky Hartzler,102,Vicky Hartzler,1.0901732444763184
396,Ralph Abraham,102,Ralph Abraham,0.03976054489612579
397,Kenny Marchant,69,Kenny Marchant,0.05964081361889839
398,Jackie Walorski,50,Jackie Walorski,0.13916189968585968
399,Adam Schiff,21,Adam Schiff,0.9837734699249268
400,André Carson,86,Andre Carson,0.1591608226299286
