,Legislator name,Legislative Effectiveness Score,Gender Estimates,Predicted Gender,Ethnicity Estimates,Predicted Ethnicity, bc, ec, cc, dc
38,Amy Klobuchar,1.482625961303711,"{'male': 0.0008719276728796169, 'female': 0.0001528512004732205}",male,"{'black': 9.046526521721626e-06, 'hispanic': 0.0010350485570329582, 'white': 0.9975486607009583, 'asian': 0.0014072442154872368}",white,0.0027934322252329844,3.030926750835554e-16,0.13170731707317074,0.8121951219512195
39,Patrick Leahy,0.2284840047359466,"{'male': 0.00338102255074559, 'female': 0.0004940791227795436}",male,"{'black': 1.96607030207453e-05, 'hispanic': 0.001193027282415027, 'white': 0.9958763600214838, 'asian': 0.0029109519930807367}",white,,,,
40,Mitch McConnell,0.2044569998979568,"{'male': 0.0008292972309461114, 'female': 4.02792955490159e-05}",male,"{'black': 1.614320060511304e-05, 'hispanic': 0.0013441586449468956, 'white': 0.9980380635732915, 'asian': 0.0006016345811567812}",white,,,,
41,John Boozman,0.2570700049400329,"{'male': 0.0009808445191512819, 'female': 0.00010587036783635457}",male,"{'black': 1.987360066535792e-05, 'hispanic': 0.008382943230629873, 'white': 0.9903543145933191, 'asian': 0.0012428685753860316}",white,,,,
42,John Thune,0.949413001537323,"{'male': 0.9564680775193672, 'female': 0.011089452538158252}",male,"{'black': 1.073695767225035e-05, 'hispanic': 0.0011909057657917524, 'white': 0.9943658227485477, 'asian': 0.004432534527988187}",white,0.0033648832519709384,0.0007299621434253497,0.7084201495281285,0.8560975609756097
43,Chuck Grassley,2.2142789363861084,"{'male': 0.0002297760031608727, 'female': 6.301104728178486e-05}",male,"{'black': 1.838963072459255e-05, 'hispanic': 0.0029569474168664703, 'white': 0.9940322582448434, 'asian': 0.002992404707565237}",white,,,,
44,Mike Braun,1.0564130544662476,"{'male': 0.7177305847188618, 'female': 0.00011035526638600232}",male,"{'black': 1.8802461076369112e-05, 'hispanic': 0.000899373026296226, 'white': 0.9978825708628476, 'asian': 0.0011992536497795346}",white,,,,
45,Cindy Hyde-Smith,0.1192729994654655,"{'male': 0.00015445636845074016, 'female': 0.0001353221515049599}",male,"{'black': 9.242561984575276e-06, 'hispanic': 0.0012412555654330816, 'white': 0.997114591938832, 'asian': 0.0016349099337504263}",white,,,,
46,John Hoeven,1.268555998802185,"{'male': 0.9967183525907082, 'female': 1.1905952238524933e-05}",male,"{'black': 2.199534373535948e-05, 'hispanic': 0.0035494550038844583, 'white': 0.9951278361719338, 'asian': 0.0013007134804460744}",white,,,,
47,Jon Tester,1.7731460332870483,"{'male': 0.013977447320866794, 'female': 0.00028326031746414066}",male,"{'black': 1.8611722269703138e-05, 'hispanic': 0.004853759233131224, 'white': 0.9920991095291962, 'asian': 0.003028519515403256}",white,0.0036331273626279414,7.251677261459101e-12,0.35421780332453007,0.9463414634146341
48,Catherine Cortez Masto,1.901483058929444,"{'male': 0.00010839726609919079, 'female': 0.00012534054006247376}",female,"{'black': 2.117795059427634e-05, 'hispanic': 0.01065690101850054, 'white': 0.9863302796569081, 'asian': 0.0029916413739972734}",white,,,,
49,John Barrasso,1.468714952468872,"{'male': 0.008499737150868835, 'female': 7.925136630122379e-05}",male,"{'black': 7.9102092409952e-05, 'hispanic': 0.0012555017959596192, 'white': 0.9982563569183269, 'asian': 0.0004090391933036458}",white,,,,
50,Lisa Murkowski,2.5613160133361816,"{'male': 0.00017114372679478466, 'female': 0.0001373962297834329}",male,"{'black': 1.665184906086366e-05, 'hispanic': 0.0009202405784348155, 'white': 0.9985962230971542, 'asian': 0.0004668844753501535}",white,0.0035963591575521106,1.4989869168226072e-07,0.5470677905308464,0.8658536585365854
51,James Lankford,1.12287700176239,"{'male': 0.9799256078894933, 'female': 2.814253967631103e-05}",male,"{'black': 2.7816475805983717e-05, 'hispanic': 0.0008708427094117735, 'white': 0.9975063294280229, 'asian': 0.0015950113867594538}",white,0.003323594935941771,1.2109535410683468e-07,0.5422312556458898,0.8585365853658536
52,Steve Daines,1.1340919733047483,"{'male': 0.0016936723449948196, 'female': 9.557221362451066e-05}",male,"{'black': 3.0386947581383273e-05, 'hispanic': 0.0008638722612377352, 'white': 0.9983467096706281, 'asian': 0.0007590311205522882}",white,,,,
53,Jerry Moran,2.014079093933105,"{'male': 0.0008681456047498716, 'female': 4.748612823227436e-05}",male,"{'black': 7.369412062339351e-06, 'hispanic': 0.006805960992336876, 'white': 0.9903020359562499, 'asian': 0.0028846336393512765}",white,,,,
54,Patty Murray,0.3611859977245331,"{'male': 0.06429042601042041, 'female': 0.00031584864102077534}",male,"{'black': 2.1591657293941816e-05, 'hispanic': 0.00043206137361018264, 'white': 0.9988629991263054, 'asian': 0.0006833478427908309}",white,,,,
55,Bernie Sanders,0.1361510008573532,"{'male': 0.0007189379683188269, 'female': 4.475164068306648e-05}",male,"{'black': 2.7415677639441523e-05, 'hispanic': 0.0011276235845632757, 'white': 0.9980734820002729, 'asian': 0.0007714787375240873}",white,,,,
56,Kyrsten Sinema,1.2197409868240356,"{'male': 0.0009504705689539189, 'female': 0.00038847151040801955}",male,"{'black': 1.5790544004126126e-05, 'hispanic': 0.0007587405819555442, 'white': 0.9984368572476825, 'asian': 0.0007886116263576755}",white,0.0033259507490172747,2.2968824362524753e-07,0.5567426652527395,0.8585365853658536
57,Bill Cassidy,1.0840020179748535,"{'male': 0.000312646268314622, 'female': 0.00020624940054523374}",male,"{'black': 2.0540292885356247e-05, 'hispanic': 0.001390227907544183, 'white': 0.9980546888879882, 'asian': 0.0005345429115822432}",white,0.0027347440426509074,1.9764961807492352e-16,0.12195121951219512,0.6658536585365854
58,Susan Collinsman,1.3333159685134888,"{'male': 0.0009725326020163712, 'female': 6.405321779591659e-05}",male,"{'black': 3.645614636285775e-05, 'hispanic': 0.0004797447038785433, 'white': 0.9988013901085535, 'asian': 0.000682409041204961}",white,,,,
59,Richard Burr,0.898419976234436,"{'male': 0.03876253942048471, 'female': 6.579505800438433e-05}",male,"{'black': 8.597308643698998e-05, 'hispanic': 0.000446033836358042, 'white': 0.9989597681600524, 'asian': 0.0005082249171522708}",white,0.0024271556584178977,0.0004593731305525804,0.5409746513968087,0.4121951219512195
60,Marco Rubio,3.5885019302368164,"{'male': 0.8974757332647174, 'female': 0.00010727198466550943}",male,"{'black': 5.8783866841886766e-05, 'hispanic': 0.998896807183508, 'white': 0.0006562588775451575, 'asian': 0.0003881500721049547}",hispanic,0.002894535905260951,4.636801774084235e-16,0.14146341463414633,0.6804878048780488
61,Chris Van Hollen,0.7886059880256653,"{'male': 0.14929920184102208, 'female': 0.00018027965630455786}",male,"{'black': 1.3089099614032468e-05, 'hispanic': 0.0012030595783369406, 'white': 0.9981289933743767, 'asian': 0.0006548579476723522}",white,,,,
62,Mark Warner,0.5657702088356018,"{'male': 0.5009515519025356, 'female': 0.00023452929885774682}",male,"{'black': 5.627997988657597e-05, 'hispanic': 0.000992334420898, 'white': 0.9953448430838185, 'asian': 0.0036065425153969212}",white,0.00350691110605074,2.843218944344923e-07,0.5697792415880364,0.8829268292682927
63,Mark Warner,0.3398280143737793,"{'male': 0.5009515519025356, 'female': 0.00023452929885774682}",male,"{'black': 5.627997988657597e-05, 'hispanic': 0.000992334420898, 'white': 0.9953448430838185, 'asian': 0.0036065425153969212}",white,0.00350691110605074,2.843218944344923e-07,0.5697792415880364,0.8829268292682927
64,Pat Toomey,0.945272982120514,"{'male': 0.01554636756089904, 'female': 0.004890036250091074}",male,"{'black': 6.824710993897924e-06, 'hispanic': 0.0017999036441777086, 'white': 0.99610453538038, 'asian': 0.0020887362644482345}",white,,,,
65,Richard Shelby,0.0956780016422271,"{'male': 0.0028572543209517084, 'female': 0.00010881556409514917}",male,"{'black': 1.448086284907724e-05, 'hispanic': 0.0006117846254426993, 'white': 0.9966595938534024, 'asian': 0.0027141406583058286}",white,,,,
66,Ben Sasse,0.1676229983568191,"{'male': 0.004951883365740446, 'female': 0.00021575683878426093}",male,"{'black': 1.0769497499403061e-05, 'hispanic': 0.0014011094990758928, 'white': 0.07567682177430679, 'asian': 0.9229112992291181}",asian,0.0035942258729819445,7.030413841089782e-07,0.5089528260552066,0.7146341463414634
67,Tom Udall,1.4404200315475464,"{'male': 0.010351467389928341, 'female': 0.0004320721449615864}",male,"{'black': 0.00019208744497948538, 'hispanic': 0.020090994347794527, 'white': 0.9765575700266388, 'asian': 0.003159348180586964}",white,0.0033539903466989064,2.555488593916587e-07,0.56118769883351,0.8634146341463415
68,Tammy Baldwin,1.0083580017089844,"{'male': 0.0013144896498444452, 'female': 0.00010976062294659728}",male,"{'black': 0.00013986667635059296, 'hispanic': 0.005279001393871482, 'white': 0.9930325694048144, 'asian': 0.0015485625249637945}",white,,,,
69,Roger Wickerman,3.558171033859253,"{'male': 0.00031805504880942604, 'female': 6.501532777363885e-05}",male,"{'black': 2.151787294931765e-05, 'hispanic': 0.0021128590232222574, 'white': 0.9942124597273101, 'asian': 0.003653163376518846}",white,,,,
