,Legislator name,Connections,Legislator name,Legislative Effectiveness Score,party
116,Ted Lieu,86,Ted Lieu,1.507662057876587,D
117,Michael McCaul,76,Michael McCaul,5.0897016525268555,R
118,Greg Pence,111,Greg Pence,0.05964081361889839,R
119,Scott Perry,111,Scott Perry,0.3509203791618347,R
120,Guy Reschenthaler,86,Guy Reschenthaler,0.4334571063518524,R
121,Francis Rooney,94,Francis Rooney,0.939371645450592,R
122,Ann Wagner,106,Ann Wagner,0.928634762763977,R
123,Joe Wilson,102,Joe Wilson,0.8888742327690125,R
124,Ted Yoho,92,Ted Yoho,0.8202536702156067,R
125,Lee Zeldin,106,Lee Zeldin,0.8409315943717957,R
126,Steve Watkins,121,Steve Watkins,0.10934149473905563,R
127,Brian Mast,111,Brian Mast,0.8645675182342529,R
128,John Curtis,86,John Curtis,1.2218332290649414,R
129,Ken Buck,86,Ken Buck,0.15904217958450317,R
130,Tim Burchett,100,Tim Burchett,0.44988739490509033,R
131,Steve Chabot,109,Steve Chabot,1.8913886547088623,R
132,Brian Fitzpatrick,111,Brian Fitzpatrick,0.44038161635398865,R
133,Michael Guest,85,Michael Guest,1.0236207246780396,R
134,Adam Kinzinger,100,Adam Kinzinger,0.8415959477424622,R
135,Ronald Wright,94,Ronald Wright,0.5503163933753967,R
136,Zoe Lofgren,103,Zoe Lofgren,2.386359691619873,D
137,Pete Aguilar,60,Pete Aguilar,0.04970067739486694,D
138,G.K. Butterfield,71,G.K. Butterfield,0.9802416563034058,D
139,Susan Davis,121,Susan Davis,0.5758082270622253,D
140,Marcia Fudge,102,Marcia Fudge,0.5473006963729858,D
141,Jamie Raskin,109,Jamie Raskin,0.2813394367694855,D
142,Rodney Davis,137,Rodney Davis,0.7845510840415955,R
143,Mark Walker,86,Mark Walker,0.5657702088356018,R
144,Mark Walker,86,Mark Warner,0.3398280143737793,D
145,Barry Loudermilk,86,Barry Loudermilk,0.27701088786125183,R
146,Alma Adams,154,Alma Adams,1.7837893962860107,D
147,Mark Takano,75,Mark Takano,4.513885498046875,D
148,Kim Schrier,94,Kim Schrier,0.6795381307601929,D
149,Donna Shalala,60,Donna Shalala,0.44789937138557434,D
150,Haley Stevens,85,Haley Stevens,0.6671755909919739,D
151,Donald Norcross,104,Donald Norcross,0.2702898383140564,D
152,Lori Trahan,104,Lori Trahan,0.48765990138053894,D
153,Lauren Underwood,105,Lauren Underwood,2.442605495452881,D
154,Frederica S. Wilson,113,Frederica Wilson,0.22862312197685242,D
155,Joseph Morelle,91,Joseph Morelle,0.3230188488960266,D
156,Suzanne Bonamici,85,Suzanne Bonamici,1.9157012701034546,D
157,Joe Courtney,104,Joe Courtney,2.6632678508758545,D
158,Mark DeSaulnier,153,Mark DeSaulnier,0.39573606848716736,D
159,Raul Grijalva,88,Raul Grijalva,3.156712293624878,D
160,Josh Harder,94,Josh Harder,2.260977029800415,D
161,Jahana Hayes,94,Jahana Hayes,0.35171711444854736,D
162,Pramila Jayapal,119,Pramila Jayapal,0.8622729182243347,D
163,Susie Lee,75,Susie Lee,0.9157986640930176,D
164,Lucy McBath,88,Lucy McBath,1.8496191501617432,D
165,Virginia Foxx,88,Virginia Foxx,1.1664752960205078,R
166,Phil Roe,75,Phil Roe,1.887868881225586,R
167,Lloyd Smucker,113,Lloyd Smucker,0.16898231208324432,R
168,Elise Stefanik,125,Elise Stefanik,1.7880722284317017,R
169,Van Taylor,78,Van Taylor,0.3584381341934204,R
170,Glenn Thompson,94,Glenn Thompson,0.2106490284204483,R
171,Tim Walberg,102,Tim Walberg,0.7665769457817078,R
172,Dan Meuser,106,Dan Meuser,0.04970067739486694,R
173,Jim Banks,131,Jim Banks,0.5771211385726929,R
174,Bradley Byrne,104,Bradley Byrne,0.27331817150115967,R
175,Russ Fulcher,88,Russ Fulcher,0.23243547976016998,R
176,Rick Allen,94,Rick Allen,0.03976054489612579,R
177,Glenn Grothman,88,Glenn Grothman,0.17097033560276031,R
178,Brett Guthrie,102,Brett Guthrie,1.1783215999603271,R
179,Dusty Johnson,94,Dusty Johnson,0.6715168952941895,R
180,Jerrold Nadler,40,Jerrold Nadler,3.0171329975128174,D
181,Debbie Mucarsel-Powell,105,Debbie Mucarsel-Powell,0.8082436919212341,D
182,Joe Neguse,80,Joe Neguse,3.5085272789001465,D
183,Cedric Richmond,70,Cedric Richmond,1.4765287637710571,D
184,Mary Gay Scanlon,52,Mary Gay Scanlon,0.477719783782959,D
185,Greg Stanton,105,Greg Stanton,1.0714024305343628,D
186,Eric Swalwell,61,Eric Swalwell,0.2702898383140564,D
187,Madeleine Dean,100,Madeleine Dean,1.678347110748291,D
188,Steve Cohen,142,Steve Cohen,1.2989979982376099,D
189,Lou Correa,70,Lou Correa,1.2189539670944214,D
190,Val Demings,91,Val Demings,0.8303555846214294,D
191,Veronica Escobar,96,Veronica Escobar,1.5069392919540405,D
192,Sylvia Garcia,100,Sylvia Garcia,0.7680389285087585,D
193,Hakeem Jeffries,71,Hakeem Jeffries,2.6289241313934326,D
194,Sheila Jackson Lee,101,Sheila Jackson Lee,3.87483549118042,D
195,Doug Collins,40,Doug Collins,1.31859290599823,R
196,Kelly Armstrong,80,Kelly Armstrong,0.04970067739486694,R
197,Tom McClintock,80,Tom McClintock,0.06958094984292984,R
198,Debbie Lesko,82,Debbie Lesko,1.1124917268753052,R
199,Martha Roby,92,Martha Roby,0.029820406809449196,R
200,Greg Steube,107,Greg Steube,0.8313430547714233,R
201,John Ratcliffe,100,John Ratcliffe,0.4992993175983429,R
202,Mike Johnson,80,Mike Johnson,0.283258318901062,R
203,Jim Jordan,80,Jim Jordan,0.009940136224031448,R
204,Andy Biggs,77,Andy Biggs,0.6446980237960815,R
205,Matt Gaetz,96,Matt Gaetz,0.06958094984292984,R
206,Mike Levin,67,Mike Levin,2.10245418548584,D
207,Alan Lowenthal,105,Alan Lowenthal,0.618179976940155,D
208,Grace Napolitano,105,Grace Napolitano,1.3403793573379517,D
209,Jared Huffman,105,Jared Huffman,1.8205643892288208,D
210,Darren Soto,94,Darren Soto,1.462057113647461,D
211,Nydia Velazquez,123,Nydia Velazquez,3.015110969543457,D
212,Steven Horsford,112,Steven Horsford,0.3120384216308594,D
213,Anthony G. Brown,161,Anthony Brown,0.9607285261154175,D
214,Diana DeGette,94,Diana DeGette,0.771702229976654,D
215,Ed Case,92,Ed Case,0.6298374533653259,D
216,TJ Cox,86,TJ Cox,0.7862836718559265,D
217,Joe Cunningham,67,Joe Cunningham,1.9034206867218018,D
218,Debbie Dingell,94,Debbie Dingell,2.077119827270508,D
219,Ruben Gallego,96,Ruben Gallego,2.628042459487915,D
220,Debra Haaland,96,Debra Haaland,1.2714295387268066,D
221,Doug Lamborn,96,Doug Lamborn,0.385675311088562,R
222,Jeff Van Drew,86,Jeff Van Drew,0.7910564541816711,D
223,Daniel Webster,105,Daniel Webster,0.03976054489612579,R
224,Bruce Westerman,105,Bruce Westerman,0.18082861602306366,R
225,Robert J. Wittman,96,Robert Wittman,0.6198973059654236,R
226,Don Young,105,Don Young,2.028656482696533,R
227,Liz Cheney,96,Liz Cheney,0.15109007060527802,R
228,Jody Hice,80,Jody Hice,0.8391735553741455,R
229,Paul Gosar,80,Paul Gosar,0.948354184627533,R
230,Garret Graves,105,Garret Graves,2.118596076965332,R
231,Kevin Hern,94,Kevin Hern,0.39024657011032104,R
232,Paul Cook,96,Paul Cook,0.44789937138557434,R
233,Nanette Barragán,84,Nanette Barragan,0.8301119804382324,D
234,Ben Ray Luján,54,Ben Ray Lujan,1.2712085247039795,D
235,Doris Matsui,66,Doris Matsui,2.205251455307007,D
236,Jerry McNerney,91,Jerry McNerney,1.7915009260177612,D
237,Tom O'Halleran,100,Tom O'Halleran,2.6543641090393066,D
238,Scott Peters,54,Scott Peters,1.6990368366241455,D
239,Bobby Rush,54,Bobby Rush,1.9967020750045776,D
240,Raul Ruiz,54,Raul Ruiz,2.802842855453491,D
241,Dave Loebsack,54,David Loebsack,0.36837828159332275,D
242,John Sarbanes,94,John Sarbanes,1.3064370155334473,D
243,Jan Schakowsky,85,Janice Schakowsky,1.630041241645813,D
244,Kurt Schrader,54,Kurt Schrader,0.7918952703475952,D
245,Paul Tonko,91,Paul Tonko,2.492619037628174,D
246,Marc Veasey,77,Marc Veasey,0.6577884554862976,D
247,Michael Doyle,54,Michael Doyle,1.2710050344467163,D
248,Lisa Blunt Rochester,54,Lisa Blunt Rochester,1.6579475402832031,D
249,Tony Cárdenas,54,Tony Cardenas,1.3369059562683105,D
250,Kathy Castor,54,Kathy Castor,1.031051754951477,D
251,Yvette D. Clarke,84,Yvette Clarke,0.9882755875587463,D
252,Annie Kuster,54,Ann Kuster,0.987284779548645,D
253,Anna Eshoo,54,Anna Eshoo,1.898498773574829,D
254,Robin Kelly,94,Robin Kelly,2.7963478565216064,D
255,Peter Welch,115,Peter Welch,1.0665136575698853,D
256,Greg Walden,54,Greg Walden,0.6953604817390442,R
